id,length,PKW_allowed
-10414497#1_1,85.9,yes
-10414497#2_1,43.24,yes
-1042405420#1_1,263.72,yes
-1056324193#1_0,71.16,yes
-10594635#0_0,73.34,yes
-1068811627_0,33.73,yes
-10750844#1_0,37.5,yes
-10755051_0,87.46,yes
-1113744422#1_0,160.43,yes
-1137649511#3_0,54.66,yes
-1163544455#1_1,151.87,yes
-1163565847#2_0,120.7,yes
-1163569502#1_1,64.1,yes
-11667106#8_0,55.87,yes
-1167488601_0,51.62,yes
-11916106#1_1,98.89,yes
-140726947#0_0,42.74,yes
-141885659#0_1,71.26,yes
-141885660#0_0,28.12,yes
-141885660#1_0,68.22,yes
-141887992#0_0,80.68,yes
-14389891#3_1,116.04,yes
-14389891#5_1,94.83,yes
-145204590#1_1,31.42,yes
-145204590#6_1,221.22,yes
-146545821#1_0,108.87,yes
-146778061_0,19.07,yes
-146778063#0_1,112.97,yes
-146778074#2_0,56,yes
-147633771#0_1,31.94,yes
-147636167_0,174.47,yes
-147759326#0_0,36.55,yes
-14947691#7_0,180.97,yes
-150995102#2_0,90.63,yes
-15801838#0_1,36.81,yes
-15801847#0_0,65.05,yes
-172222117#1_1,95.07,yes
-188708009_1,107.31,yes
-188708010#1_1,77.13,yes
-188867142#1_1,96.13,yes
-190714064#0_1,121.98,yes
-218294235#1_1,43.93,yes
-24978203#1_0,56.57,yes
-26127384#2_0,92.82,yes
-27014767_0,94.54,yes
-27361348#1_1,136.92,yes
-27410107#1_1,127.2,yes
-28373093#2_0,60.11,yes
-295864510#4_0,89.93,yes
-30748799_1,137.03,yes
-313458176#3_0,227.58,yes
-331553004#1_1,42.9,yes
-332455382#0_0,94.31,yes
-332455382#1_0,76.6,yes
-332455407#1_0,23.99,yes
-334810149#0_1,17.47,yes
-334810149#1_1,94.94,yes
-35162767#0_1,38.34,yes
-35162767#2_1,84.32,yes
-35162769#2_1,119.78,yes
-35393372#1_0,43.75,yes
-371345227#1_0,103.76,yes
-374407128_1,76.45,yes
-374541269#2_0,108.51,yes
-381201436#1_1,92.24,yes
-381223036#1_1,168.89,yes
-423368254#1_1,82.06,yes
-43068084#1_1,107.16,yes
-43585161#0_0,50.22,yes
-43586070#2_1,75.38,yes
-4375013#0_0,101.96,yes
-4375013#5_0,101.17,yes
-4393002#1_0,105.34,yes
-4393002#6_0,144.17,yes
-4393002#8_0,98.15,yes
-4398888#1_1,81.12,yes
-4399044_0,12.19,yes
-4498076#1_0,76.59,yes
-4727535_1,19.98,yes
-4730416#1_1,40.69,yes
-4734972#0_0,34.43,yes
-4803559#3_0,69.14,yes
-50003684#1.117_0,75.41,yes
-536908734#2_1,78.96,yes
-543888808_0,92.82,yes
-543888833#1_0,24,yes
-543888898#1_0,158.02,yes
-544152723_1,128.58,yes
-544152723.124_1,98.05,yes
-548370028_1,29.74,yes
-548370029_1,55.21,yes
-548370030#0_1,38.68,yes
-548370031#1_1,31.12,yes
-548370035#0_1,47.48,yes
-550432840#2_1,39.94,yes
-550432841#1_1,46.78,yes
-560707572#2_1,203.96,yes
-563626352#0_0,50.16,yes
-565560611#2_1,128.04,yes
-566100279#1_0,91.57,yes
-5736332#2_0,57.6,yes
-582263960#1_0,66.96,yes
-593076012#1_1,117.75,yes
-601313541_1,59.49,yes
-601313558#1_1,52.24,yes
-601718666#1_1,93.77,yes
-60233930#2_1,98.57,yes
-60447878_1,47.26,yes
-609970340#0_0,33.25,yes
-627360923_1,99.71,yes
-641490961#1_1,134.3,yes
-64659700#4_0,92.43,yes
-651999512#2_1,74.27,yes
-670738521_1,77.62,yes
-722646198_1,19.4,yes
-81285068#1_0,29.42,yes
-81286180_0,4.72,yes
-821493797#1_1,32.62,yes
-828445693#1_1,107.46,yes
-855557607_1,68.11,yes
-860373105#0_1,48.97,yes
-860373105#1_1,40.49,yes
-860373105#4_1,67.44,yes
-86145639#0_1,27.39,yes
-86145639#2_1,57.97,yes
-86145639#5_1,103.7,yes
-942285773#1_1,45.73,yes
-942348910#1_1,53.79,yes
-942456035#1_1,193.01,yes
-95474067#1_1,70.78,yes
-968872142#0_1,12.76,yes
-968872143_1,49.54,yes
#NAME?,109.68,yes
#NAME?,50.51,yes
#NAME?,24.8,yes
#NAME?,508.3,yes
#NAME?,87.83,yes
#NAME?,41.25,yes
#NAME?,89.09,yes
#NAME?,115.61,yes
#NAME?,89.13,yes
#NAME?,85.41,yes
#NAME?,125.03,yes
#NAME?,105.34,yes
#NAME?,37.77,yes
#NAME?,29.43,yes
#NAME?,102.81,yes
#NAME?,33.24,yes
#NAME?,48.59,yes
#NAME?,178.76,yes
#NAME?,144.55,yes
#NAME?,72.18,yes
#NAME?,77.86,yes
#NAME?,49.61,yes
#NAME?,50.94,yes
#NAME?,63.3,yes
#NAME?,29.36,yes
#NAME?,52.6,yes
10418400#0_0,84.53,yes
10418546#0_0,125,yes
10418558#0_0,91.69,yes
1051820108#0_0,118.04,yes
1056324193#0_0,71.16,yes
1056324193#2_1,70.49,yes
10594635#0_0,75.05,yes
10594635#0.73_0,105.66,yes
10750844#0_0,37.5,yes
1113744422#2_0,105.34,yes
1163500949#0_0,160.43,yes
1163529329_1,15.36,yes
1163529329_2,15.36,yes
11667106#7_0,55.87,yes
1167488601_0,50.75,yes
11916106#0_1,98.89,yes
11943595#0_0,103.76,yes
120613500#0_1,16.66,yes
120613500#1_1,86.98,yes
120613501_1,90.45,yes
120613502_1,51.42,yes
120613502.32_1,62.95,yes
12618874#0_1,111.16,yes
12618874#0.111_1,116.61,yes
136124103_1,14.42,yes
136124104#0_1,35.86,yes
136617339#0_1,41.99,yes
140726947#0_0,43.52,yes
141885659#0_0,71.19,yes
141885660#0_0,28.12,yes
141885660#1_0,68.22,yes
141887992#0_0,78.25,yes
146545817#0_0,31.4,yes
146778061_0,19.07,yes
146778074#0_0,56,yes
146783879#0_1,72.81,yes
147633771#0_1,31.94,yes
147636167_1,175.69,yes
147759326#0_1,39.56,yes
148349696#0_1,50.85,yes
148349697#1_1,57.42,yes
150995102#0_0,90.63,yes
150995110#0_1,84.28,yes
150995116#0_0,96.78,yes
150996033_1,17.22,yes
15677654#0_1,88.04,yes
15801847#0_0,63.83,yes
172222117#0_1,95.07,yes
172222118#3_0,106.55,yes
188708009_1,107.31,yes
188708010#0_1,77.13,yes
188708011_1,68.11,yes
188867142#0_1,96.13,yes
198426622_1,57.51,yes
198426624#0_0,285.5,yes
198488290#0_0,46.43,yes
198488290#0_1,46.43,yes
198488290#1_0,68.09,yes
198488290#1_1,68.09,yes
198488290#4_0,37.63,yes
198488290#4_1,37.63,yes
198488291#0_0,18.99,yes
20020535#0_1,53.94,yes
20020535#0.160_1,172.8,yes
20020535#0.52_1,109.85,yes
23570562#0_1,44.34,yes
24691258#0_0,53.86,yes
27014767_1,90.97,yes
27014785#0_1,68.15,yes
27331400#0_1,11.12,yes
27331400#1_1,158.34,yes
27331408#0_1,92.42,yes
27361189#0_1,39.05,yes
27361348#0_1,136.92,yes
27410107#0_1,127.2,yes
27410182#0_1,70.06,yes
28373093#2_0,58.41,yes
294148768_1,18.87,yes
294148769_1,12.86,yes
294149881_1,14.36,yes
313458176#0_0,227.58,yes
32434209_1,36.29,yes
32434222_1,25.06,yes
331552998#0_0,56.11,yes
332455374#1_1,72.7,yes
332455382#0_0,94.31,yes
332455382#1_0,76.6,yes
332455398#1.16_1,82.93,yes
332455407#1_0,21.44,yes
33556413#0_1,30.12,yes
33556413#1_1,9.68,yes
33693780#0_1,81.72,yes
33693780#2_1,23.57,yes
33693780#4_1,46.06,yes
33693799#0_1,85.34,yes
33694486#0_0,150.13,yes
341018763#0_1,70.57,yes
35164367_1,31.02,yes
